Opportunity Number,Opportunity Title,Agency,Opportunity Status,Posted Date,,Instrument Type,Category,Matching,Award Ceiling,Award Floor

PAR-23-074,In-Depth Phenotyping and Research Using IMPC-Generated Knockout Mouse Strains Exhibiting Embryonic or Perinatal Lethality or Subviability (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,01/12/2023,2099-01-01,Grant,"Health
Income Security and Social Services",No,499999,0

72044223APS00001,USAID/Cambodia Human Rights,USAID-CAM,Posted,01/12/2023,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,15000000,10000000

PD-23-229Y,Manufacturing Systems Integration,NSF,Posted,01/12/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

ETA-TEGL-04-18,Disaster Recovery National Dislocated Worker Grants to Address the Opioid Crisis,DOL-ETA,Posted,01/11/2023,2099-01-01,Grant,"Employment, Labor and Training",No,100000000,0

RFA-AG-24-001,Alzheimer's Disease Research Centers (P30 Clinical Trial Not Allowed),HHS-NIH11,Posted,01/11/2023,2099-01-01,Grant,Health,No,2925000,0

20230412-HB,Awards for Faculty,NEH,Posted,01/11/2023,2099-01-01,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,60000,1

23-545,"Science, Technology, Engineering and Mathematics (STEM) Education Organizational Postdoctoral Research Fellowships",NSF,Posted,01/11/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

23-544,"Science, Technology, Engineering and Mathematics (STEM) Education Individual Postdoctoral Research Fellowships",NSF,Posted,01/11/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-082,Integrative Research to Understand the Impact of Sex Differences on the Molecular Determinants of AD Risk and Responsiveness to Treatment (U01 Clinical Trial Optional),HHS-NIH11,Posted,01/10/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

PAR-23-064,NIDA Program Project Grant Applications (P01 Clinical Trial Optional),HHS-NIH11,Posted,01/10/2023,2099-01-01,Grant,"Education
Health",No,0,0

PAR-23-073,Mentored Career Development Program for Early Stage Investigators Using Nonhuman Primate Research Models (K01 Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,01/10/2023,01/07/2026,Grant,Health,No,75000,0

SFOP0009317,Global Engagement Center - Annual Program Statement,DOS-PA,Posted,01/10/2023,2099-01-01,Cooperative Agreement,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,500000,0

VPL-01-23,Announcement of Stand Down Grants,DOL-ETA-VETS,Posted,01/10/2023,2099-01-01,Grant,"Employment, Labor and Training",No,10000,0

PAR-23-060,Formative and Pilot Intervention Research to Optimize HIV Prevention and Care Continuum Outcomes (R34 Clinical Trial Optional),HHS-NIH11,Posted,01/10/2023,2099-01-01,Grant,Health,No,450000,0

PAR-23-061,Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R21 Clinical Trial Optional),HHS-NIH11,Posted,01/10/2023,2099-01-01,Grant,Health,No,275000,0

PAR-23-062,Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R01 Clinical Trial Optional),HHS-NIH11,Posted,01/10/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-070,NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Clinical Trial Required),HHS-NIH11,Posted,01/09/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-071,NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,01/09/2023,2099-01-01,Grant,Health,No,0,0

PAR-22-261,Archiving and Documenting Child Health and Human Development Data Sets (R03 Clinical Trial Not Allowed),HHS-NIH11,Posted,01/09/2023,2099-01-01,Grant,"Health
Income Security and Social Services",No,0,0

RFA-OD-23-001,Animal and Biological Material Resource Centers (P40) (Clinical Trials Not-Allowed),HHS-NIH11,Posted,01/09/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-096,Laboratories to Optimize Digital Health (R01 Clinical Trial Required),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-091,Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,250000,0

PAR-23-093,Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R01 Clinical Trial Optional),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-097,Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-092,Effectiveness of Implementing Sustainable Evidence-Based Mental Health Practices in Low-Resource Settings to Achieve Mental Health Equity for Traditionally Underserved Populations (R01 Clinical Trial Optional),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-095,Innovative Mental Health Services Research Not Involving Clinical Trials (R01 Clinical Trials Not Allowed),HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-094,"Initiation of a Mental Health Family Navigator Model to Promote Early Access, Engagement and Coordination of Needed Mental Health Services for Children and Adolescents (R01 Clinical Trial Required)",HHS-NIH11,Posted,01/06/2023,2099-01-01,Grant,Health,No,0,0

W911NF-23-S-0003,DEVCOM ANALYSIS CENTER BROAD AGENCY ANNOUNCEMENT FOR APPLIED RESEARCH,DOD-AMC,Posted,01/05/2023,2099-01-01,Cooperative AgreementGrantOtherProcurement Contract,Science and Technology and other Research and Development,No,0,0

RFA-DK-22-028,Pilot and Feasibility Trials on the Integration of Social and Medical Care for Type 1 Diabetes Mellitus (R01 Clinical Trial Required),HHS-NIH11,Posted,01/05/2023,2099-01-01,Grant,"Food and Nutrition
Health",No,350000,0

72062123APS00001,"Strengthening Inclusive, Democratic, Participatory, and Accountable Governance (SIDPAG) - Annual Program Statement",USAID-TAN,Posted,01/05/2023,2099-01-01,Other,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,3000000,250000

PAR-23-069,HEAL Commercialization Readiness Pilot (CRP) Program: Embedded Entrepreneurs for Small Businesses in Pain Management (SB1 Clinical Trial Not Allowed),HHS-NIH11,Posted,01/03/2023,09/05/2025,Grant,Health,No,400000,0

72051423RFI00002,USAID/Colombia Energy for Peace (E4P) - Energy Transition for PDETs,USAID-COL,Forecasted,01/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

23-542,Biodiversity on a Changing Planet,NSF,Posted,12/31/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

P23AS00469,FY2023 ABPP - Battlefield Land Acquisition Grant,DOI-NPS,Posted,12/30/2022,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Yes,0,0

PAR-23-049,"NIDA Core ""Center of Excellence"" Grant Program (P30 Clinical Trial Optional)",HHS-NIH11,Posted,12/28/2022,2099-01-01,Grant,"Education
Health",No,0,0

23-538,Partnerships for Innovation,NSF,Posted,12/28/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,1000000,0

23-540,"Pathways into the Earth, Ocean, Polar and Atmospheric & Geospace Sciences",NSF,Posted,12/28/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-083,Pilot Studies for the Spectrum of Alzheimers Disease/Alzheimers Disease-Related Dementias and Age-Related Cognitive Decline (R61 Clinical Trial Optional),HHS-NIH11,Posted,12/23/2022,2099-01-01,Grant,Health,No,325000,0

PAR-23-081,Early and Late Stage Clinical Trials for the Spectrum of Alzheimers Disease/Alzheimers Related Dementias and Age-Related Cognitive Decline (R01 Clinical Trial Optional),HHS-NIH11,Posted,12/23/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-075,Small Research Grants for Analyses of Gabriella Miller Kids First Pediatric Research Data (R03 Clinical Trial Not Allowed),HHS-NIH11,Posted,12/23/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

23-536,Scholarships in STEM Network,NSF,Posted,12/23/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,15000000,3000000

23-537,Emerging Mathematics in Biology,NSF,Posted,12/23/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

RFA-CA-23-014,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional),HHS-NIH11,Posted,12/22/2022,2099-01-01,Grant,"Education
Health",No,275000,0

RFA-CA-23-016,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),HHS-NIH11,Posted,12/22/2022,2099-01-01,Cooperative Agreement,"Education
Health",No,600000,0

RFA-CA-23-015,Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01 Clinical Trial Optional),HHS-NIH11,Posted,12/22/2022,2099-01-01,Cooperative Agreement,"Education
Health",No,300000,0

RFA-CA-23-017,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),HHS-NIH11,Posted,12/22/2022,2099-01-01,Cooperative Agreement,"Education
Health",No,0,0

P23AS00132,NPS Cooperative Ecosystems Studies Units (CESU) Master Cooperative Agreements,DOI-NPS,Posted,12/22/2022,2099-01-01,Cooperative Agreement,Environment,No,0,0

RFA-MH-23-335,BRAIN Initiative: Brain Behavior Quantification and Synchronization (R61/R33 Clinical Trial Optional),HHS-NIH11,Posted,12/22/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

PAR-23-063,Limited Competition: Renewal of Centers of Biomedical Research Excellence (COBRE) (Phase 2) (P20 - Clinical Trial Optional),HHS-NIH11,Posted,12/20/2022,2099-01-01,Grant,Health,No,1500000,0

RFA-NS-22-023,HEAL Initiative Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research (Independent Basic Experimental Studies with Humans Required),HHS-NIH11,Posted,12/15/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

RFA-NS-22-022,HEAL Initiative Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,12/15/2022,03/11/2025,Grant,"Education
Health
Income Security and Social Services",No,0,0

RFA-NS-22-025,HEAL Initiative Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research to Promote Diversity (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,12/15/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

RFA-NS-22-024,HEAL Initiative Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research to Promote Diversity (K99/R00 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,Posted,12/15/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

23-532,Design for Environmental Sustainability in Computing,NSF,Posted,12/15/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,2000000,100000

23-531,Archaeology Program - Doctoral Dissertation Research Improvement Grants,NSF,Posted,12/15/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,25000,0

23-535,EPSCoR Research Infrastructure Improvement (RII) Track-4: EPSCoR Research Fellows,NSF,Posted,12/15/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-059,"National Cancer Institute Program Project Applications for the Years 2023, 2024, and 2025 (P01 Clinical Trial Optional)",HHS-NIH11,Posted,12/14/2022,2099-01-01,Grant,"Education
Health",No,0,0

DE-FOA-0002944,"Notice of Intent to issue a Funding Opportunity Announcement (FOA) entitled ""Onsite Energy Technical Assistance Partnerships""",DOE-GFO,Posted,12/14/2022,2099-01-01,Cooperative Agreement,Energy,No,8000000,900000

PAR-23-056,Co-infection and Cancer (R21 Clinical Trial Not Allowed),HHS-NIH11,Posted,12/14/2022,2099-01-01,Grant,"Education
Health",No,275000,0

PAR-23-055,Co-infection and Cancer (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,12/14/2022,2099-01-01,Grant,"Education
Health",No,0,0

PAR-23-072,FDA Support for Conferences and Scientific Meetings (R13 Clinical Trial Not Allowed),HHS-FDA,Posted,12/13/2022,2099-01-01,Grant,"Food and Nutrition
Health",No,0,0

PAR-23-050,Clinical Studies of Mental Illness (Collaborative R01) (Clinical Trial Optional),HHS-NIH11,Posted,12/13/2022,2099-01-01,Grant,Health,No,0,0

72052023RFA00002,Feed the Future Connecting Value Chains in the Verapaces,USAID-GUA,Forecasted,12/13/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 20000000, 15000000

PD-23-1650,Biological Oceanography,NSF,Posted,12/13/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

23-529,Research Coordination Networks (RCN),NSF,Posted,12/13/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,500000

PAR-23-067,Development of Animal Models and Related Biological Materials for Down Syndrome Research (R21 Clinical Trials Not Allowed),HHS-NIH11,Posted,12/08/2022,2099-01-01,Grant,"Health
Income Security and Social Services",No,200000,0

AF-HAR-FY23-07,Zimbabwean-U.S. Program for Academic Collaborations (ZUPAC),DOS-ZWE,Forecasted,12/08/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 85000, 85000

HHS-2023-ACF-OCS-EE-0056,Community Economic Development Planning Grants,HHS-ACF-OCS,Forecasted,12/07/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 75000

PAR-23-058,"NCI Small Grants Program for Cancer Research for Years 2023, 2024, and 2025 (NCI Omnibus) (R03 Clinical Trial Optional)",HHS-NIH11,Posted,12/05/2022,2099-01-01,Grant,"Education
Health",No,0,0

23-527,"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program",NSF,Posted,12/04/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,5000000,100000

72049723RFI00001,USAID/Indonesia Urban Climate Change Adaptation Activity,USAID-IND,Forecasted,12/01/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

NNJ23ZSA001N,2023 Human Exploration Research Opportunities (HERO) Overview,NASA-JSC,Posted,12/01/2022,2099-01-01,Cooperative AgreementGrantProcurement Contract,Science and Technology and other Research and Development,No,0,0

23-525,Oceanographic Facilities and Equipment Support,NSF,Posted,12/01/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,47500000,5000

23-524,"Computer and Information Science and Engineering (CISE): Core Programs, Large Projects",NSF,Posted,12/01/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

RFI-USAID-AFOLU-2023,Developing New Landscape Scale (AFOLU) GHG Calculator Tool,USAID,Forecasted,11/30/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

PAR-23-057,NIA Multi-site Clinical Trial Implementation Grant (R01 Clinical Trial Required),HHS-NIH11,Posted,11/30/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-036,"Secondary Analysis of Existing Datasets in Heart, Lung, and Blood Diseases and Sleep Disorders (R21 Clinical Trial Not Allowed)",HHS-NIH11,Posted,11/28/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-037,"Multisite Clinical Research: Leveraging Network Infrastructure to Advance Research for Women, Children, Pregnant and Lactating Individuals, and Persons with Disabilities (U01 Clinical Trial Optional)",HHS-NIH11,Posted,11/28/2022,2099-01-01,Cooperative Agreement,"Health
Income Security and Social Services",No,0,0

PAR-23-065,NIAID Resource-Related Research Projects (R24 Clinical Trial Not Allowed),HHS-NIH11,Posted,11/23/2022,2099-01-01,Grant,Health,No,0,0

PAR-22-256,Pragmatic Trials across the Cancer Control Continuum (UG3/UH3 Clinical Trial Required),HHS-NIH11,Posted,11/23/2022,2099-01-01,Cooperative Agreement,Health,No,0,0

PAR-23-030,Leading Equity and Diversity in the Medical Scientist Training Program (LEAD MSTP)(T32),HHS-NIH11,Posted,11/22/2022,2099-01-01,Grant,Health,No,0,0

23-520,Training-based Workforce Development for Advanced Cyberinfrastructure (CyberTraining),NSF,Posted,11/22/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,1000000,0

23-521,Strengthening the Cyberinfrastructure Professionals Ecosystem (SCIPE),NSF,Posted,11/22/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,5000000,0

23-519,Major Research Instrumentation Program,NSF,Posted,11/22/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,4000000,100000

PD-22-1332,Social Psychology,NSF,Posted,11/22/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-025,Ancillary Studies to Ongoing Clinical Projects (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,11/21/2022,2099-01-01,Grant,Health,No,0,0

20230315-DR,Fellowships Open Book Program,NEH,Posted,11/21/2022,2099-01-01,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,5500,5500

PAR-23-026,Ancillary Studies to Ongoing Clinical Projects (R21 Clinical Trial Not Allowed),HHS-NIH11,Posted,11/21/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-054,Advanced-Stage Development and Utilization of Research Infrastructure for Interdisciplinary Aging Studies (R33 Clinical Trial Optional),HHS-NIH11,Posted,11/21/2022,2099-01-01,Grant,Health,No,500000,0

PAR-23-053,Research Infrastructure Development for Interdisciplinary Aging Studies (R61/R33 - Clinical Trial Optional),HHS-NIH11,Posted,11/21/2022,2099-01-01,Grant,Health,No,500000,0

PAR-23-052,"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (UH2 Clinical Trial Not Allowed)",HHS-NIH11,Posted,11/21/2022,10/23/2025,Cooperative Agreement,"Education
Health",No,275000,0

PAR-23-051,"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (U01 Clinical Trial Not Allowed)",HHS-NIH11,Posted,11/21/2022,2099-01-01,Cooperative Agreement,"Education
Health",No,500000,0

20230215-HT,Institutes for Advanced Topics in the Digital Humanities,NEH,Posted,11/21/2022,2099-01-01,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,250000,1

W911NF-23-S-0001,DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH,DOD-AMC,Posted,11/21/2022,2099-01-01,Cooperative AgreementGrantOtherProcurement Contract,Science and Technology and other Research and Development,No,0,0

23-518,Advanced Computing Systems & Services: Adapting to the Rapid Evolution of Science and Engineering Research,NSF,Posted,11/19/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,10000000,0

RFA-ES-22-010,Environmental Health Sciences Core Centers (EHSCC) (P30 Clinical Trial Optional),HHS-NIH11,Posted,11/18/2022,2099-01-01,Grant,"Environment
Health",No,0,0

PAR-24-022,Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional),HHS-NIH11,Posted,11/18/2022,2099-01-01,Grant,Health,No,400000,0

23-517,Cybersecurity Innovation for Cyberinfrastructure,NSF,Posted,11/18/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

F23AS00078,F23AS00078 National Fish Passage Program Bipartisan Infrastructure Law Fiscal Year 2023,DOI-FWS,Posted,11/17/2022,2099-01-01,Cooperative AgreementGrantOtherProcurement Contract,Natural Resources,No,2000000,100000

NSWCCD-23-0001,Carderock Research Projects,DOD-ONR-SEA-NSWFCRD,Posted,11/15/2022,2099-01-01,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,200000,5000

23-514,Research and Mentoring for Postbaccalaureates in Biological Sciences,NSF,Posted,11/11/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,3000000

PAR-23-046,Engineering Next-Generation Human Nervous System Microphysiological Systems (R01 Clinical Trials Not Allowed),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-047,Engineering Next-Generation Human Nervous System Microphysiological Systems (R21 Clinical Trials Not Allowed),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,275000,0

GVA-SGP-2023-002,"U.S. Mission to the United Nations-Geneva, Small Grants Program",DOS-USUN,Posted,11/10/2022,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,100000,1000

RFA-OD-22-025,Pathway to Independence Award in Tobacco Regulatory Research (K99/R00 - Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,0,0

RFA-OD-22-023,Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 - Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,0,0

RFA-OD-22-026,Pathway to Independence Award in Tobacco Regulatory Research (K99/R00 - Independent Clinical Trial Required ),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,0,0

RFA-OD-22-024,Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 - Independent Clinical Trial Required),HHS-NIH11,Posted,11/10/2022,2099-01-01,Grant,Health,No,0,0

RFI-685-23-RC-TIP,Regional Countering Trafficking in Persons (RC-TIP) Activity for the Sahel,USAID-SEN,Forecasted,11/09/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

PD-22-1530,Paleoclimate,NSF,Posted,11/08/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

72052723RFI00001,Government Accountability and Effectiveness in Peru,USAID-PER,Forecasted,11/07/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 12000000,0

RFA-NS-22-069,HEAL Initiative Integrated Basic and Clinical Team-based Research in Pain(RM1 Clinical Trial Optional),HHS-NIH11,Posted,11/04/2022,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

720BHA22APS00002,Climate Smart and Disaster Ready,USAID,Posted,11/04/2022,2099-01-01,Cooperative AgreementGrant,Disaster Prevention and Relief,No,30000000,10000000

F23AS00063,Great Lakes Fish and Wildlife Restoration Act FY 2023,DOI-FWS,Posted,11/02/2022,2099-01-01,Cooperative AgreementGrant,Natural Resources,Yes,960000,2000

HR001123S0003,Strategic Technology Office (STO) Office-wide,DOD-DARPA-STO,Posted,11/01/2022,2099-01-01,Cooperative AgreementGrantOtherProcurement Contract,Science and Technology and other Research and Development,No,0,0

PAR-23-041,Functional Validation and/or Characterization of Genes or Variants Implicated in Substance Use Disorders (R21/R33 Clinical Trial Not Allowed),HHS-NIH11,Posted,11/01/2022,2099-01-01,Grant,"Education
Health",No,125000,0

PA-23-044,Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement Clinical Trial Optional),HHS-NIH11,Posted,10/31/2022,2099-01-01,Grant,Health,No,0,0

RFI-625-22-NFEA,Non-Formal Education Activity,USAID-SEN,Forecasted,10/31/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

PAR-23-033,Integrated Preclinical / Clinical AIDS Vaccine Development Program (IPCAVD) (U19 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/31/2022,2099-01-01,Cooperative Agreement,Health,No,3000000,0

RFA-OH-23-003,Occupational Safety and Health Education and Research Centers (T42),HHS-CDC-HHSCDCERA,Posted,10/31/2022,2099-01-01,Grant,Health,No,1800000,1300000

PAR-23-039,"Development of Resources and Technologies for Enhancing Rigor, Reproducibility, and Translatability of Animal Models in Biomedical Research (R24 Clinical Trials Not Allowed)",HHS-NIH11,Posted,10/28/2022,2099-01-01,Grant,Health,No,0,0

PAR-23-040,"Development of Resources and Technologies for Enhancing Rigor, Reproducibility, and Translatability of Animal Models in Biomedical Research (R01)",HHS-NIH11,Posted,10/28/2022,2099-01-01,Grant,Health,No,0,0

23-511,Biology Integration Institutes,NSF,Posted,10/28/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,15000000

HHS-2023-ACF-OPRE-YR-0153,Early Care and Education Research Scholars: Head Start Dissertation Grants,HHS-ACF-OPRE,Forecasted,10/28/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 25000, 20000

HHS-2023-ACF-OPRE-YE-0154,Early Care and Education Research Scholars: Child Care Dissertation Grants,HHS-ACF-OPRE,Forecasted,10/28/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 25000, 20000

72038823RFI00001,Inclusive Access to Finance,USAID-BAN,Forecasted,10/27/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

PD-23-1524,Atmospheric Chemistry,NSF,Posted,10/26/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-032,Late-Stage Translation of Biomedical and Behavioral Research Results in Arthritis and Musculoskeletal and Skin Diseases from Academic/Non-profit Lab to Marketplace (SBIR [R43/R44] Clinical Trial Not Allowed),HHS-NIH11,Posted,10/26/2022,2099-01-01,Grant,Health,No,350000,0

72038823RFI00002,Host and Impacted Community Response Activity,USAID-BAN,Forecasted,10/24/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SPAINNOFOSUSI2023,Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process,DOS-ESP,Forecasted,10/21/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 3000,0

PAR-23-021,Avenir Award Program for Genetics or Epigenetics of Substance Use Disorders (DP1 Clinical Trial Optional),HHS-NIH11,Posted,10/21/2022,09/25/2025,Grant,"Education
Health",No,300000,0

RFA-DK-22-039,Toward ElucidAting MechanismS of HIV Pathogenesis within the Mission of the NIDDK (Pathogenesis TEAMS) (R01 Clinical Trial Optional),HHS-NIH11,Posted,10/21/2022,11/15/2023,Grant,"Food and Nutrition
Health",No,0,0

RFA-DA-24-007,Avenir Award Program for Chemistry and Pharmacology of Substance Use Disorders (DP1- Clinical Trial Not Allowed),HHS-NIH11,Posted,10/20/2022,08/07/2025,Grant,"Education
Health",No,300000,0

23-510,Improving Undergraduate STEM Education: Directorate for STEM Education,NSF,Posted,10/20/2022,01/17/2024,Grant,Science and Technology and other Research and Development,No,2000000,200000

23-507,Experiential Learning for Emerging and Novel Technologies,NSF,Posted,10/18/2022,09/12/2024,Grant,Science and Technology and other Research and Development,No,1000000,1

23-508,Antarctic Research Not Requiring U.S. Antarctic Program (USAP) Field Support,NSF,Posted,10/18/2022,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

PAR-23-029,NCMRR Early Career Research Award (R03 Clinical Trial Optional),HHS-NIH11,Posted,10/17/2022,05/08/2026,Grant,"Health
Income Security and Social Services",No,0,0

RFI44223001,USAID Somros Baitang Activity,USAID-CAM,Forecasted,10/14/2022,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 25000000, 10000000

RFA-HL-24-005,Limited Competition: Small Grant Program for NHLBI K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional),HHS-NIH11,Posted,10/14/2022,01/07/2026,Grant,Health,No,75000,0

23-506,Expanding AI Innovation through Capacity Building and Partnerships,NSF,Posted,10/14/2022,03/11/2024,Grant,Science and Technology and other Research and Development,No,28000000,400000

PAR-22-247,Development of Animal Models and Related Biological Materials for Down Syndrome Research (R24 Clinical Trials Not-Allowed),HHS-NIH11,Posted,10/13/2022,05/25/2025,Grant,"Education
Health
Income Security and Social Services",No,0,0

